Parameter S1 S1_conf ST ST_conf
p_zero_p 0.000000 0.000000 0.000000 0.000000
alpha_p 0.000000 0.000000 0.000000 0.000000
V_p 0.000000 0.000000 0.000000 0.000000
delta_prime_p 0.000000 0.000000 0.000000 0.000000
k_p 0.996605 0.374576 0.998657 0.061346
subs_rate 0.000000 0.000000 0.000000 0.000000
a 0.000000 0.000000 0.000000 0.000000
b 0.000000 0.000000 0.000000 0.000000
c 0.000000 0.000000 0.000000 0.000000
t.star 0.000000 0.000000 0.000000 0.000000
c.star 0.000000 0.000000 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
p_zero_p alpha_p 0.000000 0.000000
p_zero_p V_p 0.000000 0.000000
p_zero_p delta_prime_p 0.000000 0.000000
p_zero_p k_p -0.000000 0.000000
p_zero_p subs_rate 0.000000 0.000000
p_zero_p a 0.000000 0.000000
p_zero_p b 0.000000 0.000000
p_zero_p c 0.000000 0.000000
p_zero_p t.star 0.000000 0.000000
p_zero_p c.star 0.000000 0.000000
alpha_p V_p 0.000000 0.000000
alpha_p delta_prime_p 0.000000 0.000000
alpha_p k_p -0.000000 0.000000
alpha_p subs_rate 0.000000 0.000000
alpha_p a 0.000000 0.000000
alpha_p b 0.000000 0.000000
alpha_p c 0.000000 0.000000
alpha_p t.star 0.000000 0.000000
alpha_p c.star 0.000000 0.000000
V_p delta_prime_p 0.000000 0.000000
V_p k_p -0.000000 0.000000
V_p subs_rate 0.000000 0.000000
V_p a 0.000000 0.000000
V_p b 0.000000 0.000000
V_p c 0.000000 0.000000
V_p t.star 0.000000 0.000000
V_p c.star 0.000000 0.000000
delta_prime_p k_p -0.000000 0.000000
delta_prime_p subs_rate 0.000000 0.000000
delta_prime_p a 0.000000 0.000000
delta_prime_p b 0.000000 0.000000
delta_prime_p c 0.000000 0.000000
delta_prime_p t.star 0.000000 0.000000
delta_prime_p c.star 0.000000 0.000000
k_p subs_rate 0.004104 0.737499
k_p a 0.004104 0.737499
k_p b 0.004104 0.737499
k_p c 0.004104 0.737499
k_p t.star 0.004104 0.737499
k_p c.star 0.004104 0.737499
subs_rate a 0.000000 0.000000
subs_rate b 0.000000 0.000000
subs_rate c 0.000000 0.000000
subs_rate t.star 0.000000 0.000000
subs_rate c.star 0.000000 0.000000
a b 0.000000 0.000000
a c 0.000000 0.000000
a t.star 0.000000 0.000000
a c.star 0.000000 0.000000
b c 0.000000 0.000000
b t.star 0.000000 0.000000
b c.star 0.000000 0.000000
c t.star 0.000000 0.000000
c c.star 0.000000 0.000000
t.star c.star 0.000000 0.000000
