Parameter S1 S1_conf ST ST_conf
p_zero_p 0.029988 0.018885 0.151953 0.091350
alpha_p 0.002085 0.022533 0.056500 0.028299
V_p 0.000082 0.007583 0.021433 0.016264
delta_prime_p 0.011207 0.020860 0.070556 0.048571
k_p 0.000000 0.000000 0.000000 0.000000
subs_rate -0.000340 0.004790 0.005286 0.002928
a 0.002908 0.004300 0.001642 0.000821
b -0.001558 0.007964 0.026172 0.014872
c -0.002590 0.004252 0.004904 0.003396
t.star 0.208935 0.207021 0.864760 0.405257
c.star 0.171327 0.128921 0.664292 0.287778

Parameter_1 Parameter_2 S2 S2_conf
p_zero_p alpha_p -0.002235 0.036170
p_zero_p V_p -0.012273 0.034376
p_zero_p delta_prime_p -0.016089 0.034487
p_zero_p k_p -0.014077 0.034173
p_zero_p subs_rate -0.014236 0.034664
p_zero_p a -0.014438 0.034633
p_zero_p b -0.015081 0.033446
p_zero_p c -0.013844 0.034194
p_zero_p t.star 0.044415 0.115589
p_zero_p c.star -0.035898 0.088060
alpha_p V_p 0.022382 0.046400
alpha_p delta_prime_p 0.018570 0.054983
alpha_p k_p 0.020668 0.049220
alpha_p subs_rate 0.022207 0.048930
alpha_p a 0.020813 0.051057
alpha_p b 0.023299 0.048379
alpha_p c 0.020827 0.047528
alpha_p t.star 0.058364 0.061722
alpha_p c.star 0.047288 0.083416
V_p delta_prime_p 0.005118 0.017150
V_p k_p 0.003465 0.015495
V_p subs_rate 0.003516 0.015115
V_p a 0.003940 0.015974
V_p b 0.003249 0.014863
V_p c 0.003324 0.014917
V_p t.star -0.006427 0.021901
V_p c.star 0.014962 0.023648
delta_prime_p k_p 0.005137 0.048815
delta_prime_p subs_rate 0.005693 0.048531
delta_prime_p a 0.006249 0.050412
delta_prime_p b 0.006065 0.048398
delta_prime_p c 0.003983 0.046603
delta_prime_p t.star 0.134413 0.180831
delta_prime_p c.star 0.031997 0.090568
k_p subs_rate 0.000000 0.000000
k_p a 0.000000 0.000000
k_p b 0.000000 0.000000
k_p c 0.000000 0.000000
k_p t.star 0.000000 0.000000
k_p c.star 0.000000 0.000000
subs_rate a 0.000676 0.010454
subs_rate b 0.000596 0.010267
subs_rate c 0.000744 0.009742
subs_rate t.star 0.011122 0.021998
subs_rate c.star -0.010373 0.021559
a b -0.004728 0.009332
a c -0.004720 0.008744
a t.star -0.004674 0.015124
a c.star -0.009730 0.023020
b c 0.006266 0.015651
b t.star 0.004535 0.044887
b c.star 0.024863 0.045846
c t.star 0.005743 0.018921
c c.star 0.005877 0.020102
t.star c.star 0.305269 0.596052
