Parameter S1 S1_conf ST ST_conf
p_zero_p 0.021374 0.016247 0.139747 0.074727
alpha_p -0.001775 0.015301 0.038904 0.016486
V_p 0.000000 0.000000 0.000000 0.000000
delta_prime_p 0.000000 0.000000 0.000000 0.000000
k_p 0.000000 0.000000 0.000000 0.000000
subs_rate -0.000786 0.004332 0.007101 0.003538
a 0.002170 0.003209 0.001416 0.000621
b -0.001436 0.007124 0.028216 0.012737
c -0.002809 0.003684 0.007155 0.005246
t.star 0.237157 0.222583 0.790399 0.258891
c.star 0.171134 0.135319 0.791787 0.261837

Parameter_1 Parameter_2 S2 S2_conf
p_zero_p alpha_p 0.002131 0.028336
p_zero_p V_p -0.007414 0.026756
p_zero_p delta_prime_p -0.007414 0.026756
p_zero_p k_p -0.007414 0.026756
p_zero_p subs_rate -0.007473 0.027199
p_zero_p a -0.007658 0.027059
p_zero_p b -0.009177 0.026029
p_zero_p c -0.007195 0.026694
p_zero_p t.star 0.065148 0.128511
p_zero_p c.star -0.008023 0.089543
alpha_p V_p 0.015021 0.034098
alpha_p delta_prime_p 0.015021 0.034098
alpha_p k_p 0.015021 0.034098
alpha_p subs_rate 0.015980 0.033309
alpha_p a 0.014886 0.035248
alpha_p b 0.017938 0.033037
alpha_p c 0.014962 0.032536
alpha_p t.star 0.046521 0.043940
alpha_p c.star 0.032266 0.056208
V_p delta_prime_p 0.000000 0.000000
V_p k_p 0.000000 0.000000
V_p subs_rate 0.000000 0.000000
V_p a -0.000000 0.000000
V_p b 0.000000 0.000000
V_p c -0.000000 0.000000
V_p t.star 0.000000 0.000000
V_p c.star 0.000000 0.000000
delta_prime_p k_p 0.000000 0.000000
delta_prime_p subs_rate 0.000000 0.000000
delta_prime_p a -0.000000 0.000000
delta_prime_p b 0.000000 0.000000
delta_prime_p c -0.000000 0.000000
delta_prime_p t.star 0.000000 0.000000
delta_prime_p c.star 0.000000 0.000000
k_p subs_rate 0.000000 0.000000
k_p a -0.000000 0.000000
k_p b 0.000000 0.000000
k_p c -0.000000 0.000000
k_p t.star 0.000000 0.000000
k_p c.star 0.000000 0.000000
subs_rate a 0.001854 0.009279
subs_rate b 0.001945 0.009286
subs_rate c 0.001833 0.008621
subs_rate t.star 0.015021 0.025776
subs_rate c.star -0.008533 0.019347
a b -0.003508 0.007015
a c -0.003504 0.006548
a t.star -0.003703 0.014193
a c.star -0.008883 0.019121
b c 0.005792 0.014072
b t.star -0.000803 0.056387
b c.star 0.024907 0.045618
c t.star 0.004733 0.016823
c c.star 0.006895 0.016701
t.star c.star 0.263424 0.459787
