Parameter S1 S1_conf ST ST_conf
p_zero_p 0.015684 0.075944 0.105715 0.059785
alpha_p 0.011549 0.053795 0.039307 0.016490
V_p -0.000103 0.029304 0.014911 0.011238
delta_prime_p 0.062689 0.059783 0.049086 0.031505
k_p 0.311837 0.178617 0.324028 0.098275
subs_rate -0.005388 0.015545 0.003678 0.001866
a 0.003217 0.008866 0.001142 0.000498
b 0.001741 0.034494 0.018208 0.009616
c -0.003324 0.014820 0.003412 0.002214
t.star 0.157287 0.260373 0.601622 0.230931
c.star 0.089543 0.209294 0.462155 0.161372

Parameter_1 Parameter_2 S2 S2_conf
p_zero_p alpha_p 0.010873 0.133291
p_zero_p V_p 0.003890 0.131875
p_zero_p delta_prime_p 0.001235 0.132027
p_zero_p k_p 0.010022 0.129464
p_zero_p subs_rate 0.002524 0.131772
p_zero_p a 0.002384 0.131812
p_zero_p b 0.001937 0.131150
p_zero_p c 0.002797 0.131807
p_zero_p t.star 0.043329 0.166909
p_zero_p c.star -0.012546 0.154851
alpha_p V_p 0.031251 0.098048
alpha_p delta_prime_p 0.028599 0.102391
alpha_p k_p 0.029381 0.100490
alpha_p subs_rate 0.031129 0.099095
alpha_p a 0.030159 0.100242
alpha_p b 0.031889 0.098953
alpha_p c 0.030169 0.098652
alpha_p t.star 0.056284 0.101640
alpha_p c.star 0.048579 0.112319
V_p delta_prime_p 0.006262 0.042289
V_p k_p 0.000910 0.042171
V_p subs_rate 0.005148 0.041125
V_p a 0.005443 0.041547
V_p b 0.004962 0.041028
V_p c 0.005015 0.041132
V_p t.star -0.001769 0.042427
V_p c.star 0.013111 0.043316
delta_prime_p k_p -0.018858 0.101222
delta_prime_p subs_rate -0.019327 0.101413
delta_prime_p a -0.018940 0.102158
delta_prime_p b -0.019068 0.101217
delta_prime_p c -0.020517 0.100680
delta_prime_p t.star 0.070225 0.173022
delta_prime_p c.star -0.001027 0.120347
k_p subs_rate 0.003266 0.279576
k_p a 0.004263 0.279773
k_p b 0.004097 0.279303
k_p c 0.003119 0.279568
k_p t.star 0.025434 0.283440
k_p c.star 0.017661 0.283127
subs_rate a 0.003635 0.026144
subs_rate b 0.003580 0.026043
subs_rate c 0.003682 0.025860
subs_rate t.star 0.010902 0.030497
subs_rate c.star -0.004051 0.030955
a b -0.004185 0.019739
a c -0.004179 0.019495
a t.star -0.004147 0.022974
a c.star -0.007665 0.026797
b c 0.007131 0.054276
b t.star 0.005928 0.065170
b c.star 0.020070 0.070817
c t.star 0.003840 0.025880
c c.star 0.003933 0.027271
t.star c.star 0.212145 0.576782
