Parameter S1 S1_conf ST ST_conf
V_p 0.003430 0.022352 0.008918 0.003248
delta_prime_p -0.005296 0.033986 0.021206 0.007542
k_p 0.321124 0.144104 0.319411 0.048648
subs_rate 0.000000 0.000000 0.000000 0.000000
a 0.000000 0.000000 0.000000 0.000000
b 0.000000 0.000000 0.000000 0.000000
c 0.000000 0.000000 0.000000 0.000000
t.star 0.000000 0.000000 0.000000 0.000000
c.star 0.000000 0.000000 0.000000 0.000000
xi 0.436206 0.277450 0.646719 0.102402
mu -0.002316 0.016354 0.003897 0.001081
sigma 0.007799 0.122871 0.211996 0.050255

Parameter_1 Parameter_2 S2 S2_conf
V_p delta_prime_p -0.003465 0.035190
V_p k_p 0.002451 0.035036
V_p subs_rate -0.003279 0.034934
V_p a -0.003279 0.034934
V_p b -0.003279 0.034934
V_p c -0.003279 0.034934
V_p t.star -0.003279 0.034934
V_p c.star -0.003279 0.034934
V_p xi 0.012645 0.047921
V_p mu -0.003104 0.034905
V_p sigma -0.006713 0.035905
delta_prime_p k_p 0.007280 0.057983
delta_prime_p subs_rate 0.007813 0.057782
delta_prime_p a 0.007813 0.057782
delta_prime_p b 0.007813 0.057782
delta_prime_p c 0.007813 0.057782
delta_prime_p t.star 0.007813 0.057782
delta_prime_p c.star 0.007813 0.057782
delta_prime_p xi 0.018501 0.081022
delta_prime_p mu 0.007547 0.057983
delta_prime_p sigma 0.005466 0.064299
k_p subs_rate -0.023068 0.273038
k_p a -0.023068 0.273038
k_p b -0.023068 0.273038
k_p c -0.023068 0.273038
k_p t.star -0.023068 0.273038
k_p c.star -0.023068 0.273038
k_p xi 0.000137 0.276181
k_p mu -0.019617 0.272867
k_p sigma 0.000016 0.272540
subs_rate a 0.000000 0.000000
subs_rate b 0.000000 0.000000
subs_rate c 0.000000 0.000000
subs_rate t.star 0.000000 0.000000
subs_rate c.star 0.000000 0.000000
subs_rate xi 0.000000 0.000000
subs_rate mu 0.000000 0.000000
subs_rate sigma 0.000000 0.000000
a b 0.000000 0.000000
a c 0.000000 0.000000
a t.star 0.000000 0.000000
a c.star 0.000000 0.000000
a xi 0.000000 0.000000
a mu 0.000000 0.000000
a sigma 0.000000 0.000000
b c 0.000000 0.000000
b t.star 0.000000 0.000000
b c.star 0.000000 0.000000
b xi 0.000000 0.000000
b mu 0.000000 0.000000
b sigma 0.000000 0.000000
c t.star 0.000000 0.000000
c c.star 0.000000 0.000000
c xi 0.000000 0.000000
c mu 0.000000 0.000000
c sigma 0.000000 0.000000
t.star c.star 0.000000 0.000000
t.star xi 0.000000 0.000000
t.star mu 0.000000 0.000000
t.star sigma 0.000000 0.000000
c.star xi 0.000000 0.000000
c.star mu 0.000000 0.000000
c.star sigma 0.000000 0.000000
xi mu 0.042886 0.505192
xi sigma 0.209960 0.538598
mu sigma -0.000819 0.028293
