Parameter S1 S1_conf ST ST_conf
V_p -0.000128 0.002373 0.002039 0.001066
delta_prime_p -0.002252 0.007049 0.005123 0.003540
k_p 0.000000 0.000000 0.000000 0.000000
subs_rate -0.000046 0.000291 0.000024 0.000013
a 0.000027 0.000495 0.000101 0.000056
b -0.000287 0.001162 0.000174 0.000112
c -0.000234 0.000537 0.000027 0.000018
t.star -0.004887 0.014926 0.060895 0.037340
c.star 0.006129 0.005345 0.017920 0.011797
xi 0.843699 0.299177 0.935789 0.202502
mu 0.001117 0.001896 0.001679 0.001002
sigma 0.012923 0.028398 0.118135 0.068257

Parameter_1 Parameter_2 S2 S2_conf
V_p delta_prime_p 0.000625 0.004949
V_p k_p 0.000658 0.004995
V_p subs_rate 0.000645 0.004988
V_p a 0.000658 0.005006
V_p b 0.000649 0.005000
V_p c 0.000665 0.005007
V_p t.star 0.000543 0.004965
V_p c.star 0.000706 0.005190
V_p xi 0.023796 0.031074
V_p mu 0.000673 0.004971
V_p sigma -0.000256 0.004614
delta_prime_p k_p 0.004914 0.013773
delta_prime_p subs_rate 0.004941 0.013775
delta_prime_p a 0.004962 0.013811
delta_prime_p b 0.004836 0.013698
delta_prime_p c 0.004888 0.013724
delta_prime_p t.star 0.003769 0.012088
delta_prime_p c.star 0.004893 0.013957
delta_prime_p xi -0.004453 0.063034
delta_prime_p mu 0.004901 0.013888
delta_prime_p sigma 0.002890 0.015538
k_p subs_rate 0.000000 0.000000
k_p a 0.000000 0.000000
k_p b -0.000000 0.000000
k_p c -0.000000 0.000000
k_p t.star 0.000000 0.000000
k_p c.star 0.000000 0.000000
k_p xi 0.000000 0.000000
k_p mu -0.000000 0.000000
k_p sigma 0.000000 0.000000
subs_rate a 0.000083 0.000588
subs_rate b 0.000083 0.000590
subs_rate c 0.000082 0.000588
subs_rate t.star 0.000096 0.000614
subs_rate c.star 0.000056 0.000600
subs_rate xi -0.000591 0.003625
subs_rate mu 0.000091 0.000601
subs_rate sigma 0.000149 0.000876
a b -0.000077 0.000935
a c -0.000078 0.000934
a t.star -0.000138 0.000898
a c.star -0.000065 0.000983
a xi -0.000060 0.002685
a mu -0.000082 0.000938
a sigma 0.000242 0.001100
b c 0.000147 0.001697
b t.star -0.000114 0.001488
b c.star 0.000138 0.001767
b xi -0.008673 0.013233
b mu 0.000138 0.001714
b sigma 0.000155 0.001644
c t.star 0.000268 0.000709
c c.star 0.000293 0.000791
c xi 0.000104 0.001821
c mu 0.000292 0.000772
c sigma 0.000326 0.000742
t.star c.star 0.023501 0.039059
t.star xi -0.030963 0.182419
t.star mu 0.018751 0.036097
t.star sigma 0.023998 0.034851
c.star xi -0.039542 0.106090
c.star mu -0.009834 0.009792
c.star sigma -0.009454 0.009026
xi mu 0.123390 0.798513
xi sigma 0.223660 0.823963
mu sigma -0.002152 0.004545
