Parameter S1 S1_conf ST ST_conf
V_p 0.000000 0.000000 0.000000 0.000000
delta_prime_p 0.000000 0.000000 0.000000 0.000000
k_p 0.000000 0.000000 0.000000 0.000000
subs_rate -0.000047 0.000370 0.000040 0.000023
a -0.000026 0.000517 0.000116 0.000070
b -0.000450 0.001907 0.000343 0.000256
c -0.000332 0.000908 0.000057 0.000040
t.star -0.005263 0.021896 0.097636 0.057319
c.star 0.010769 0.009196 0.037476 0.025007
xi 0.793768 0.271317 0.908512 0.234612
mu 0.000962 0.001790 0.001971 0.001409
sigma 0.008977 0.026566 0.116731 0.066834

Parameter_1 Parameter_2 S2 S2_conf
V_p delta_prime_p 0.000000 0.000000
V_p k_p 0.000000 0.000000
V_p subs_rate 0.000000 0.000000
V_p a -0.000000 0.000000
V_p b 0.000000 0.000000
V_p c 0.000000 0.000000
V_p t.star 0.000000 0.000000
V_p c.star -0.000000 0.000000
V_p xi 0.000000 0.000000
V_p mu 0.000000 0.000000
V_p sigma 0.000000 0.000000
delta_prime_p k_p 0.000000 0.000000
delta_prime_p subs_rate 0.000000 0.000000
delta_prime_p a -0.000000 0.000000
delta_prime_p b 0.000000 0.000000
delta_prime_p c 0.000000 0.000000
delta_prime_p t.star 0.000000 0.000000
delta_prime_p c.star -0.000000 0.000000
delta_prime_p xi 0.000000 0.000000
delta_prime_p mu 0.000000 0.000000
delta_prime_p sigma 0.000000 0.000000
k_p subs_rate 0.000000 0.000000
k_p a -0.000000 0.000000
k_p b 0.000000 0.000000
k_p c 0.000000 0.000000
k_p t.star 0.000000 0.000000
k_p c.star -0.000000 0.000000
k_p xi 0.000000 0.000000
k_p mu 0.000000 0.000000
k_p sigma 0.000000 0.000000
subs_rate a 0.000074 0.000739
subs_rate b 0.000075 0.000743
subs_rate c 0.000073 0.000739
subs_rate t.star 0.000076 0.000799
subs_rate c.star 0.000020 0.000771
subs_rate xi -0.000964 0.004628
subs_rate mu 0.000081 0.000754
subs_rate sigma 0.000151 0.001047
a b 0.000001 0.000970
a c -0.000000 0.000968
a t.star -0.000103 0.000936
a c.star 0.000018 0.001045
a xi 0.000287 0.002713
a mu -0.000003 0.000973
a sigma 0.000299 0.001121
b c 0.000341 0.002846
b t.star -0.000185 0.002335
b c.star 0.000325 0.003011
b xi -0.009520 0.015114
b mu 0.000338 0.002874
b sigma 0.000357 0.002707
c t.star 0.000331 0.001150
c c.star 0.000408 0.001402
c xi 0.000440 0.002981
c mu 0.000403 0.001339
c sigma 0.000472 0.001258
t.star c.star 0.045707 0.078620
t.star xi 0.017396 0.285445
t.star mu 0.034863 0.070256
t.star sigma 0.039785 0.063425
c.star xi -0.042037 0.130308
c.star mu -0.016150 0.015665
c.star sigma -0.015030 0.014151
xi mu 0.151732 0.801598
xi sigma 0.223334 0.791980
mu sigma -0.001797 0.004193
