Parameter S1 S1_conf ST ST_conf
V_p 0.001114 0.012313 0.001897 0.000949
delta_prime_p -0.003962 0.019822 0.004768 0.003164
k_p 0.072724 0.077909 0.067803 0.029337
subs_rate 0.000287 0.001299 0.000022 0.000012
a -0.000507 0.002693 0.000094 0.000052
b -0.000708 0.003701 0.000162 0.000101
c -0.000162 0.001540 0.000025 0.000016
t.star 0.010521 0.064225 0.056665 0.033604
c.star 0.012165 0.035602 0.016676 0.010853
xi 0.772157 0.497992 0.870797 0.173315
mu 0.003221 0.010501 0.001563 0.000930
sigma 0.013740 0.097771 0.109931 0.062230

Parameter_1 Parameter_2 S2 S2_conf
V_p delta_prime_p 0.000886 0.019175
V_p k_p 0.002419 0.019388
V_p subs_rate 0.000905 0.019183
V_p a 0.000917 0.019191
V_p b 0.000908 0.019188
V_p c 0.000923 0.019191
V_p t.star 0.000809 0.019206
V_p c.star 0.000961 0.019306
V_p xi 0.022448 0.041310
V_p mu 0.000930 0.019167
V_p sigma 0.000066 0.019061
delta_prime_p k_p 0.005777 0.036486
delta_prime_p subs_rate 0.007164 0.035976
delta_prime_p a 0.007183 0.035998
delta_prime_p b 0.007066 0.035921
delta_prime_p c 0.007115 0.035941
delta_prime_p t.star 0.006073 0.034861
delta_prime_p c.star 0.007120 0.036106
delta_prime_p xi -0.001578 0.079546
delta_prime_p mu 0.007127 0.036037
delta_prime_p sigma 0.005255 0.036877
k_p subs_rate -0.012424 0.149871
k_p a -0.012374 0.149861
k_p b -0.012081 0.149873
k_p c -0.012430 0.149862
k_p t.star -0.012967 0.149311
k_p c.star -0.012363 0.149815
k_p xi -0.010171 0.152688
k_p mu -0.012047 0.149840
k_p sigma -0.006131 0.149897
subs_rate a -0.000287 0.002386
subs_rate b -0.000287 0.002387
subs_rate c -0.000287 0.002386
subs_rate t.star -0.000275 0.002417
subs_rate c.star -0.000312 0.002397
subs_rate xi -0.000915 0.004910
subs_rate mu -0.000280 0.002391
subs_rate sigma -0.000225 0.002513
a b 0.000376 0.004076
a c 0.000375 0.004074
a t.star 0.000320 0.004068
a c.star 0.000388 0.004102
a xi 0.000392 0.005468
a mu 0.000372 0.004075
a sigma 0.000673 0.004150
b c -0.002627 0.005755
b t.star -0.002870 0.005646
b c.star -0.002635 0.005794
b xi -0.010834 0.015681
b mu -0.002635 0.005763
b sigma -0.002620 0.005722
c t.star 0.000243 0.002295
c c.star 0.000266 0.002334
c xi 0.000090 0.003207
c mu 0.000265 0.002321
c sigma 0.000297 0.002301
t.star c.star 0.014624 0.115413
t.star xi -0.036057 0.235888
t.star mu 0.010205 0.112981
t.star sigma 0.015087 0.112567
c.star xi -0.042253 0.131837
c.star mu -0.014609 0.054205
c.star sigma -0.014255 0.053847
xi mu 0.162156 1.151161
xi sigma 0.255463 1.174166
mu sigma -0.004931 0.015389
