date	time	sl
19710101	00:00	105
19710101	01:00	139
19710101	02:00	154
19710101	03:00	137
19710101	04:00	91
19710101	05:00	33
19710101	06:00	-28
19710101	07:00	-93
19710101	08:00	-149
19710101	09:00	-174
19710101	10:00	-112
19710101	11:00	-7
19710101	12:00	60
19710101	13:00	96
19710101	14:00	115
19710101	15:00	118
19710101	16:00	87
19710101	17:00	39
19710101	18:00	-16
19710101	19:00	-72
19710101	20:00	-128
19710101	21:00	-160
19710101	22:00	-117
19710101	23:00	-10
19710102	00:00	77
19710102	01:00	125
19710102	02:00	149
19710102	03:00	155
19710102	04:00	133
19710102	05:00	84
19710102	06:00	26
19710102	07:00	-34
19710102	08:00	-103
19710102	09:00	-152
19710102	10:00	-173
19710102	11:00	-94
19710102	12:00	-4
19710102	13:00	49
19710102	14:00	80
19710102	15:00	98
19710102	16:00	102
19710102	17:00	70
19710102	18:00	17
19710102	19:00	-43
19710102	20:00	-105
19710102	21:00	-159
19710102	22:00	-180
19710102	23:00	-117
19710103	00:00	-7
19710103	01:00	64
19710103	02:00	103
19710103	03:00	131
19710103	04:00	137
19710103	05:00	108
19710103	06:00	57
19710103	07:00	-1
19710103	08:00	-71
19710103	09:00	-123
19710103	10:00	-172
19710103	11:00	-176
19710103	12:00	-91
19710103	13:00	-2
19710103	14:00	49
19710103	15:00	80
19710103	16:00	99
19710103	17:00	94
19710103	18:00	57
19710103	19:00	6
19710103	20:00	-53
19710103	21:00	-111
19710103	22:00	-159
19710103	23:00	-166
19710104	00:00	-87
19710104	01:00	14
19710104	02:00	82
19710104	03:00	118
19710104	04:00	139
19710104	05:00	137
19710104	06:00	100
19710104	07:00	50
19710104	08:00	-7
19710104	09:00	-66
19710104	10:00	-123
19710104	11:00	-164
19710104	12:00	-144
19710104	13:00	-59
19710104	14:00	16
19710104	15:00	55
19710104	16:00	80
19710104	17:00	92
19710104	18:00	85
19710104	19:00	45
19710104	20:00	-7
19710104	21:00	-64
19710104	22:00	-119
19710104	23:00	-159
19710105	00:00	-143
19710105	01:00	-64
19710105	02:00	24
19710105	03:00	77
19710105	04:00	109
19710105	05:00	125
19710105	06:00	123
19710105	07:00	88
19710105	08:00	37
19710105	09:00	-16
19710105	10:00	-72
19710105	11:00	-127
19710105	12:00	-158
19710105	13:00	-119
19710105	14:00	-41
19710105	15:00	23
19710105	16:00	53
19710105	17:00	73
19710105	18:00	81
19710105	19:00	71
19710105	20:00	29
19710105	21:00	-24
19710105	22:00	-82
19710105	23:00	-137
19710106	00:00	-172
19710106	01:00	-148
19710106	02:00	-71
19710106	03:00	12
19710106	04:00	62
19710106	05:00	92
19710106	06:00	105
19710106	07:00	99
19710106	08:00	60
19710106	09:00	13
19710106	10:00	-45
19710106	11:00	-103
19710106	12:00	-157
19710106	13:00	-180
19710106	14:00	-139
19710106	15:00	-62
19710106	16:00	1
19710106	17:00	35
19710106	18:00	50
19710106	19:00	57
19710106	20:00	49
19710106	21:00	12
19710106	22:00	-41
19710106	23:00	-104
19710107	00:00	-154
19710107	01:00	-187
19710107	02:00	-173
19710107	03:00	-109
19710107	04:00	-30
19710107	05:00	23
19710107	06:00	49
19710107	07:00	60
19710107	08:00	56
19710107	09:00	34
19710107	10:00	-9
19710107	11:00	-65
19710107	12:00	-119
19710107	13:00	-166
19710107	14:00	-178
19710107	15:00	-135
19710107	16:00	-61
19710107	17:00	-9
19710107	18:00	20
19710107	19:00	43
19710107	20:00	58
19710107	21:00	61
19710107	22:00	46
19710107	23:00	3
19710108	00:00	-43
19710108	01:00	-90
19710108	02:00	-116
19710108	03:00	-101
19710108	04:00	-36
19710108	05:00	35
19710108	06:00	80
19710108	07:00	113
19710108	08:00	134
19710108	09:00	143
19710108	10:00	126
19710108	11:00	84
19710108	12:00	37
19710108	13:00	-10
19710108	14:00	-55
19710108	15:00	-92
19710108	16:00	-86
19710108	17:00	-21
19710108	18:00	47
19710108	19:00	95
19710108	20:00	124
19710108	21:00	140
19710108	22:00	129
19710108	23:00	94
19710109	00:00	43
19710109	01:00	-9
19710109	02:00	-62
19710109	03:00	-113
19710109	04:00	-143
19710109	05:00	-118
19710109	06:00	-45
19710109	07:00	21
19710109	08:00	63
19710109	09:00	86
19710109	10:00	99
19710109	11:00	93
19710109	12:00	56
19710109	13:00	10
19710109	14:00	-46
19710109	15:00	-98
19710109	16:00	-149
19710109	17:00	-150
19710109	18:00	-70
19710109	19:00	15
19710109	20:00	74
19710109	21:00	105
19710109	22:00	115
19710109	23:00	117
19710110	00:00	84
19710110	01:00	37
19710110	02:00	-15
19710110	03:00	-69
19710110	04:00	-122
19710110	05:00	-155
19710110	06:00	-126
19710110	07:00	-45
19710110	08:00	34
19710110	09:00	71
19710110	10:00	100
19710110	11:00	110
19710110	12:00	104
19710110	13:00	63
19710110	14:00	12
