Year,Global mean sea-level anomaly (m),Temperature anomaly [C],,# Global mean sea level (in meters) is estimated from the Rahmstorf 2007 model with Markov Chain Monte Carlo. 
1880,-0.153480238,-0.16,,# This method assumes AR1 autocorrelation and heteroskedatic observation errors.
1881,-0.152191534,-0.1,,#  Sea-level is projected into the future with RCP 8.5 scenario temperatures and the best estimated parameters from the MCMC analysis.
1882,-0.150783278,-0.12,,# Temperature anomalies are with respect to the 20th century average. Historic temperatures from 1880 to 2013 are from NOAA. 
1883,-0.149414874,-0.17,,# The RCP 8.5 temperatures are from 2014 to 2300 and are collected from the CNRM-CM5 model.
1884,-0.148146095,-0.23,,
1885,-0.146996868,-0.2,,
1886,-0.145787865,-0.18,,
1887,-0.144539012,-0.26,,
1888,-0.14344956,-0.17,,
1889,-0.142180782,-0.09,,
1890,-0.140752601,-0.3,,
1891,-0.139742851,-0.26,,
1892,-0.138653399,-0.3,,
1893,-0.137643649,-0.34,,
1894,-0.1367136,-0.3,,
1895,-0.13570385,-0.25,,
1896,-0.134594473,-0.1,,
1897,-0.133186218,-0.15,,
1898,-0.131877589,-0.28,,
1899,-0.130827988,-0.16,,
1900,-0.129539284,-0.11,,
1901,-0.128150954,-0.17,,
1902,-0.126882175,-0.26,,
1903,-0.125792724,-0.35,,
1904,-0.1248826,-0.41,,
1905,-0.124092027,-0.29,,
1906,-0.123062352,-0.24,,
1907,-0.12193305,-0.38,,
1908,-0.121082702,-0.43,,
1909,-0.12033198,-0.43,,
1910,-0.119581258,-0.42,,
1911,-0.118810611,-0.44,,
1912,-0.118079814,-0.38,,
1913,-0.117229466,-0.35,,
1914,-0.116319342,-0.19,,
1915,-0.115090414,-0.11,,
1916,-0.113702084,-0.31,,
1917,-0.112712259,-0.34,,
1918,-0.111782209,-0.24,,
1919,-0.110652908,-0.26,,
1920,-0.109563456,-0.24,,
1921,-0.108434155,-0.16,,
1922,-0.107145451,-0.25,,
1923,-0.106036074,-0.23,,
1924,-0.104886847,-0.22,,
1925,-0.103717695,-0.15,,
1926,-0.102409066,-0.06,,
1927,-0.100921109,-0.13,,
1928,-0.099572629,-0.13,,
1929,-0.09822415,-0.24,,
1930,-0.097094848,-0.06,,
1931,-0.095606891,-0.03,,
1932,-0.094059159,-0.05,,
1933,-0.092551278,-0.2,,
1934,-0.091342275,-0.05,,
1935,-0.089834393,-0.08,,
1936,-0.088386287,-0.05,,
1937,-0.086878405,0.06,,
1938,-0.085151346,0.08,,
1939,-0.083384436,0.07,,
1940,-0.081637451,0.11,,
1941,-0.079810765,0.16,,
1942,-0.077884453,0.12,,
1943,-0.076037842,0.11,,
1944,-0.074211156,0.22,,
1945,-0.072165292,0.09,,
1946,-0.070378457,-0.05,,
1947,-0.068870575,-0.05,,
1948,-0.067362694,-0.06,,
1949,-0.065874737,-0.07,,
1950,-0.064406706,-0.16,,
1951,-0.063118002,0,,
1952,-0.061510494,0.04,,
1953,-0.059823285,0.12,,
1954,-0.057976674,-0.1,,
1955,-0.056568418,-0.11,,
1956,-0.055180088,-0.17,,
1957,-0.05391131,0.06,,
1958,-0.05218425,0.12,,
1959,-0.050337639,0.07,,
1960,-0.048590654,0.02,,
1961,-0.046943296,0.1,,
1962,-0.045136535,0.12,,
1963,-0.043289924,0.14,,
1964,-0.041403462,-0.12,,
1965,-0.040035058,-0.06,,
1966,-0.038547101,0,,
1967,-0.036939593,0.02,,
1968,-0.035292235,0.01,,
1969,-0.033664801,0.11,,
1970,-0.031838115,0.07,,
1971,-0.030091131,-0.03,,
1972,-0.028543398,0.05,,
1973,-0.026836264,0.19,,
1974,-0.024850176,-0.05,,
1975,-0.023342294,0.02,,
1976,-0.021694936,-0.08,,
1977,-0.02024683,0.18,,
1978,-0.018280667,0.1,,
1979,-0.016473907,0.18,,
1980,-0.014507744,0.23,,
1981,-0.012441955,0.27,,
1982,-0.010296465,0.15,,
1983,-0.008390078,0.32,,
1984,-0.006144962,0.13,,
1985,-0.004278426,0.11,,
1986,-0.00245174,0.2,,
1987,-0.000445727,0.33,,
1988,0.001819315,0.34,,
