date	time	value	unit
01/01/1849	8:40	1034	cm
01/02/1849	8:40	1019	cm
01/03/1849	8:40	1024	cm
01/04/1849	8:40	1006	cm
01/05/1849	8:40	1114	cm
01/06/1849	8:40	1139	cm
01/07/1849	8:40	1169	cm
01/08/1849	8:40	1179	cm
01/09/1849	8:40	1158	cm
01/10/1849	8:40	1138	cm
01/11/1849	8:40	1159	cm
01/12/1849	8:40	1228	cm
01/13/1849	8:40	1268	cm
01/14/1849	8:40	1259	cm
01/15/1849	8:40	1264	cm
01/16/1849	8:40	1414	cm
01/17/1849	8:40	1484	cm
01/18/1849	8:40	1467	cm
01/19/1849	8:40	1434	cm
01/20/1849	8:40	1419	cm
01/21/1849	8:40	1368	cm
01/22/1849	8:40	1324	cm
01/23/1849	8:40	1299	cm
01/24/1849	8:40	1259	cm
01/25/1849	8:40	1219	cm
01/26/1849	8:40	1194	cm
01/27/1849	8:40	1154	cm
01/28/1849	8:40	1139	cm
01/29/1849	8:40	1114	cm
01/30/1849	8:40	1106	cm
01/31/1849	8:40	1119	cm
02/01/1849	8:40	1119	cm
02/02/1849	8:40	1114	cm
02/03/1849	8:40	1106	cm
02/04/1849	8:40	1094	cm
02/05/1849	8:40	1079	cm
02/06/1849	8:40	1068	cm
02/07/1849	8:40	1074	cm
02/08/1849	8:40	1062	cm
02/09/1849	8:40	1054	cm
02/10/1849	8:40	1044	cm
02/11/1849	8:40	1044	cm
02/12/1849	8:40	1029	cm
02/13/1849	8:40	1029	cm
02/14/1849	8:40	1019	cm
02/15/1849	8:40	1012	cm
02/16/1849	8:40	1004	cm
02/17/1849	8:40	1009	cm
02/18/1849	8:40	1002	cm
02/19/1849	8:40	994	cm
02/20/1849	8:40	984	cm
02/21/1849	8:40	984	cm
02/22/1849	8:40	1049	cm
02/23/1849	8:40	1149	cm
02/24/1849	8:40	1184	cm
02/25/1849	8:40	1171	cm
02/26/1849	8:40	1174	cm
02/27/1849	8:40	1204	cm
02/28/1849	8:40	1219	cm
03/01/1849	8:40	1224	cm
03/02/1849	8:40	1207	cm
03/03/1849	8:40	1227	cm
03/04/1849	8:40	1218	cm
03/05/1849	8:40	1189	cm
03/06/1849	8:40	1154	cm
03/07/1849	8:40	1122	cm
03/08/1849	8:40	1109	cm
03/09/1849	8:40	1094	cm
03/10/1849	8:40	1104	cm
03/11/1849	8:40	1099	cm
03/12/1849	8:40	1089	cm
03/13/1849	8:40	1068	cm
03/14/1849	8:40	1069	cm
03/15/1849	8:40	1089	cm
03/16/1849	8:40	1072	cm
03/17/1849	8:40	1066	cm
03/18/1849	8:40	1073	cm
03/19/1849	8:40	1074	cm
03/20/1849	8:40	1059	cm
03/21/1849	8:40	1044	cm
03/22/1849	8:40	1036	cm
03/23/1849	8:40	1024	cm
03/24/1849	8:40	1014	cm
03/25/1849	8:40	1002	cm
03/26/1849	8:40	989	cm
03/27/1849	8:40	984	cm
03/28/1849	8:40	979	cm
03/29/1849	8:40	979	cm
03/30/1849	8:40	984	cm
03/31/1849	8:40	974	cm
04/01/1849	8:40	969	cm
04/02/1849	8:40	964	cm
04/03/1849	8:40	954	cm
04/04/1849	8:40	949	cm
04/05/1849	8:40	954	cm
04/06/1849	8:40	959	cm
04/07/1849	8:40	949	cm
04/08/1849	8:40	944	cm
04/09/1849	8:40	939	cm
04/10/1849	8:40	939	cm
04/11/1849	8:40	944	cm
04/12/1849	8:40	944	cm
04/13/1849	8:40	944	cm
04/14/1849	8:40	947	cm
04/15/1849	8:40	949	cm
04/16/1849	8:40	949	cm
04/17/1849	8:40	964	cm
04/18/1849	8:40	969	cm
04/19/1849	8:40	967	cm
04/20/1849	8:40	971	cm
04/21/1849	8:40	972	cm
04/22/1849	8:40	979	cm
04/23/1849	8:40	999	cm
04/24/1849	8:40	994	cm
04/25/1849	8:40	989	cm
04/26/1849	8:40	999	cm
04/27/1849	8:40	994	cm
04/28/1849	8:40	989	cm
04/29/1849	8:40	984	cm
04/30/1849	8:40	979	cm
05/01/1849	8:40	974	cm
05/02/1849	8:40	969	cm
05/03/1849	8:40	954	cm
05/04/1849	8:40	949	cm
05/05/1849	8:40	944	cm
05/06/1849	8:40	939	cm
05/07/1849	8:40	934	cm
05/08/1849	8:40	934	cm
05/09/1849	8:40	934	cm
05/10/1849	8:40	929	cm
05/11/1849	8:40	924	cm
05/12/1849	8:40	924	cm
05/13/1849	8:40	932	cm
05/14/1849	8:40	929	cm
05/15/1849	8:40	926	cm
05/16/1849	8:40	924	cm
05/17/1849	8:40	922	cm
05/18/1849	8:40	919	cm
05/19/1849	8:40	924	cm
05/20/1849	8:40	949	cm
05/21/1849	8:40	974	cm
05/22/1849	8:40	989	cm
05/23/1849	8:40	979	cm
05/24/1849	8:40	964	cm
05/25/1849	8:40	959	cm
05/26/1849	8:40	954	cm
05/27/1849	8:40	944	cm
05/28/1849	8:40	934	cm
05/29/1849	8:40	924	cm
05/30/1849	8:40	919	cm
05/31/1849	8:40	909	cm
06/01/1849	8:40	904	cm
06/02/1849	8:40	899	cm
06/03/1849	8:40	894	cm
06/04/1849	8:40	889	cm
06/05/1849	8:40	884	cm
06/06/1849	8:40	881	cm
06/07/1849	8:40	889	cm
06/08/1849	8:40	884	cm
06/09/1849	8:40	879	cm
06/10/1849	8:40	874	cm
06/11/1849	8:40	869	cm
06/12/1849	8:40	868	cm
06/13/1849	8:40	866	cm
06/14/1849	8:40	865	cm
06/15/1849	8:40	864	cm
06/16/1849	8:40	861	cm
06/17/1849	8:40	864	cm
06/18/1849	8:40	869	cm
06/19/1849	8:40	879	cm
06/20/1849	8:40	884	cm
06/21/1849	8:40	879	cm
06/22/1849	8:40	874	cm
06/23/1849	8:40	871	cm
06/24/1849	8:40	868	cm
06/25/1849	8:40	864	cm
06/26/1849	8:40	861	cm
06/27/1849	8:40	859	cm
06/28/1849	8:40	856	cm
06/29/1849	8:40	854	cm
06/30/1849	8:40	852	cm
07/01/1849	8:40	850	cm
07/02/1849	8:40	854	cm
07/03/1849	8:40	859	cm
07/04/1849	8:40	852	cm
07/05/1849	8:40	859	cm
07/06/1849	8:40	859	cm
07/07/1849	8:40	860	cm
07/08/1849	8:40	869	cm
07/09/1849	8:40	867	cm
07/10/1849	8:40	862	cm
07/11/1849	8:40	869	cm
07/12/1849	8:40	859	cm
07/13/1849	8:40	849	cm
07/14/1849	8:40	859	cm
07/15/1849	8:40	852	cm
07/16/1849	8:40	848	cm
07/17/1849	8:40	844	cm
07/18/1849	8:40	839	cm
07/19/1849	8:40	837	cm
07/20/1849	8:40	836	cm
07/21/1849	8:40	839	cm
07/22/1849	8:40	844	cm
07/23/1849	8:40	844	cm
07/24/1849	8:40	842	cm
07/25/1849	8:40	834	cm
07/26/1849	8:40	839	cm
07/27/1849	8:40	844	cm
07/28/1849	8:40	847	cm
07/29/1849	8:40	849	cm
07/30/1849	8:40	854	cm
07/31/1849	8:40	854	cm
08/01/1849	8:40	857	cm
08/02/1849	8:40	859	cm
08/03/1849	8:40	854	cm
08/04/1849	8:40	853	cm
08/05/1849	8:40	851	cm
08/06/1849	8:40	849	cm
08/07/1849	8:40	847	cm
08/08/1849	8:40	844	cm
08/09/1849	8:40	844	cm
08/10/1849	8:40	842	cm
08/11/1849	8:40	839	cm
08/12/1849	8:40	837	cm
08/13/1849	8:40	840	cm
08/14/1849	8:40	834	cm
08/15/1849	8:40	837	cm
08/16/1849	8:40	834	cm
08/17/1849	8:40	834	cm
08/18/1849	8:40	836	cm
08/19/1849	8:40	837	cm
08/20/1849	8:40	834	cm
08/21/1849	8:40	832	cm
08/22/1849	8:40	831	cm
08/23/1849	8:40	830	cm
08/24/1849	8:40	828	cm
08/25/1849	8:40	827	cm
08/26/1849	8:40	826	cm
08/27/1849	8:40	827	cm
08/28/1849	8:40	826	cm
08/29/1849	8:40	825	cm
08/30/1849	8:40	824	cm
08/31/1849	8:40	823	cm
09/01/1849	8:40	820	cm
09/02/1849	8:40	819	cm
09/03/1849	8:40	818	cm
09/04/1849	8:40	817	cm
09/05/1849	8:40	816	cm
09/06/1849	8:40	815	cm
