year	max_monthly_sl		max_monthly_sl	F
1864	6655		6655	0.006666667
1865	6675		6675	0.013333333
1866	6845		6675	0.02
1867	6675		6695	0.026666667
1868	6715		6715	0.033333333
1869	6815		6715	0.04
1870	6735		6735	0.046666667
1871	6695		6735	0.053333333
1872	6935		6746	0.06
1873	6755		6751	0.066666667
1874	6715		6755	0.073333333
1875	6735		6755	0.08
1876	6785		6775	0.086666667
1877	6835		6778	0.093333333
1878	6755		6778	0.1
1879	6775		6785	0.106666667
1880	6935		6785	0.113333333
1881	6830		6794	0.12
1882	6840		6796	0.126666667
1883	6820		6805	0.133333333
1884	6785		6815	0.14
1885	6885		6815	0.146666667
1886	6870		6820	0.153333333
1887	6843		6823	0.16
1888	6746		6830	0.166666667
1889	6778		6831	0.173333333
1890	6883		6834	0.18
1891	6796		6835	0.186666667
1892	6805		6840	0.193333333
1893	6834		6841	0.2
1894	6907		6843	0.206666667
1895	6853		6845	0.213333333
1896	6794		6845	0.22
1897	6751		6853	0.226666667
1898	6855		6853	0.233333333
1899	6924		6855	0.24
1900	6845		6859	0.246666667
1901	6841		6869	0.253333333
1902	6859		6870	0.26
1903	6891		6870	0.266666667
1904	6920		6883	0.273333333
1905	6924		6883	0.28
1906	6886		6885	0.286666667
1907	6778		6886	0.293333333
1908	6823		6891	0.3
1909	6870		6892	0.306666667
1910	6954		6893	0.313333333
1911	6815		6898	0.32
1912	6959		6903	0.326666667
1913	7051		6907	0.333333333
1914	6929		6907	0.34
1915	6939		6911	0.346666667
1916	7049		6919	0.353333333
1917	6940		6919	0.36
1918	6911		6920	0.366666667
1919	6869		6924	0.373333333
1920	6903		6924	0.38
1921	6945		6925	0.386666667
1922	6919		6927	0.393333333
1923	6973		6929	0.4
1924	6853		6929	0.406666667
1925	7014		6935	0.413333333
1926	6831		6935	0.42
1927	6893		6935	0.426666667
1928	7063		6936	0.433333333
1929	6907		6939	0.44
1930	7058		6940	0.446666667
1931	6961		6945	0.453333333
1932	7016		6951	0.46
1933	6883		6952	0.466666667
1934	6919		6952	0.473333333
1935	6951		6954	0.48
1936	7020		6957	0.486666667
1937	7028		6958	0.493333333
1938	6952		6959	0.5
1939	6991		6961	0.506666667
1940	7082		6966	0.513333333
1941	6935		6971	0.52
1942	6983		6973	0.526666667
1943	6958		6973	0.533333333
1944	7050		6983	0.54
1945	6892		6988	0.546666667
1946	7051		6989	0.553333333
1947	7084		6990	0.56
1948	6995		6991	0.566666667
1949	6971		6991	0.573333333
1950	6989		6995	0.58
1951	6952		6997	0.586666667
1952	6973		6998	0.593333333
1953	6898		7009	0.6
1954	7031		7014	0.606666667
1955	7009		7016	0.613333333
1956	6927		7017	0.62
1957	6966		7018	0.626666667
1958	7023		7020	0.633333333
1959	7018		7022	0.64
1960	6997		7022	0.646666667
1961	6936		7023	0.653333333
1962	6929		7026	0.66
1963	7042		7028	0.666666667
1964	6925		7029	0.673333333
1965	7123		7031	0.68
1966	7093		7038	0.686666667
1967	7063		7038	0.693333333
1968	6957		7042	0.7
1969	7138		7045	0.706666667
1970	6990		7049	0.713333333
1971	6998		7050	0.72
1972	7022		7051	0.726666667
1973	7147		7051	0.733333333
1974	7152		7051	0.74
1975	7017		7056	0.746666667
1976	7026		7058	0.753333333
1977	7177		7063	0.76
1978	7038		7063	0.766666667
1979	7078		7066	0.773333333
1980	7038		7073	0.78
1981	7158		7076	0.786666667
1982	7066		7076	0.793333333
1983	7153		7078	0.8
1984	7105		7082	0.806666667
1985	6991		7084	0.813333333
1986	7076		7085	0.82
1987	7029		7089	0.826666667
1988	7091		7091	0.833333333
1989	7045		7092	0.84
1990	7180		7093	0.846666667
1991	6988		7095	0.853333333
1992	7092		7104	0.86
1993	7134		7105	0.866666667
1994	7073		7112	0.873333333
1995	7112		7114	0.88
1996	7114		7117	0.886666667
1997	7022		7119	0.893333333
1998	7154		7123	0.9
1999	7158		7134	0.906666667
2000	7076		7138	0.913333333
2001	7141		7141	0.92
2002	7175		7147	0.926666667
2003	7089		7152	0.933333333
2004	7051		7153	0.94
2005	7085		7154	0.946666667
2006	7171		7158	0.953333333
2007	7173		7158	0.96
2008	7117		7171	0.966666667
2009	7119		7173	0.973333333
2010	7056		7175	0.98
2011	7239		7177	0.986666667
2012	7095		7180	0.993333333
2013	7104		7239	1
