year	day	abm	resid	mean	detrend
1879	1	231	-50.9774	281.9774	231
1880	13	323	36.8458	286.1542	267.8458
1881	25	352	64.5292	287.4708	295.5292
1882	37	332	45.4372	286.5628	276.4372
1883	49	392	102.7132	289.2868	333.7132
1884	61	305	19.663	285.337	250.663
1885	73	239	-43.3406	282.3406	187.6594
1886	85	235	-47.159	282.159	183.841
1887	97	241	-41.4314	282.4314	189.5686
1888	109	268	-15.6572	283.6572	215.3428
1889	121	277	-7.0658	284.0658	223.9342
1890	133	249	-33.7946	282.7946	197.2054
1891	145	230	-51.932	281.932	179.068
1892	157	263	-20.4302	283.4302	210.5698
1893	169	232	-50.0228	282.0228	180.9772
1894	181	377	88.3942	288.6058	319.3942
1895	193	348	60.7108	287.2892	291.7108
1896	205	271	-12.7934	283.7934	218.2066
1897	217	258	-25.2032	283.2032	205.7968
1898	229	330	43.528	286.472	274.528
1899	241	266	-17.5664	283.5664	213.4336
1900	253	227	-54.7958	281.7958	176.2042
1901	265	392	102.7132	289.2868	333.7132
1902	277	292	7.2532	284.7468	238.2532
1903	289	283	-1.3382	284.3382	229.6618
1904	301	336	49.2556	286.7444	280.2556
1905	313	343	55.9378	287.0622	286.9378
1906	325	412	121.8052	290.1948	352.8052
1907	337	303	17.7538	285.2462	248.7538
1908	349	288	3.4348	284.5652	234.4348
1909	361	253	-29.9762	282.9762	201.0238
1910	373	213	-68.1602	281.1602	162.8398
1911	385	284	-0.3836	284.3836	230.6164
1912	397	278	-6.1112	284.1112	224.8888
1913	409	236	-46.2044	282.2044	184.7956
1914	421	345	57.847	287.153	288.847
1915	433	216	-65.2964	281.2964	165.7036
1916	445	426	135.1696	290.8304	366.1696
1917	457	352	64.5292	287.4708	295.5292
1918	469	295	10.117	284.883	241.117
1919	481	234	-48.1136	282.1136	182.8864
1920	493	253	-29.9762	282.9762	201.0238
1921	505	349	61.6654	287.3346	292.6654
1922	517	307	21.5722	285.4278	252.5722
1923	529	278	-6.1112	284.1112	224.8888
1924	541	325	38.755	286.245	269.755
1925	553	248	-34.7492	282.7492	196.2508
1926	565	347	59.7562	287.2438	290.7562
1927	577	230	-51.932	281.932	179.068
1928	589	331	44.4826	286.5174	275.4826
1929	601	366	77.8936	288.1064	308.8936
1930	601	277	-7.0658	284.0658	223.9342
1931	624	251	-31.8854	282.8854	199.1146
1932	635	238	-44.2952	282.2952	186.7048
1933	646	226	-55.7504	281.7504	175.2496
1934	657	273	-10.8842	283.8842	220.1158
1935	668	280	-4.202	284.202	226.798
1936	679	330	43.528	286.472	274.528
1937	690	217	-64.3418	281.3418	166.6582
1938	701	300	14.89	285.11	245.89
1939	712	273	-10.8842	283.8842	220.1158
1940	723	295	10.117	284.883	241.117
1941	735	271	-12.7934	283.7934	218.2066
1942	747	272	-11.8388	283.8388	219.1612
1943	759	318	32.0728	285.9272	263.0728
1944	771	392	102.7132	289.2868	333.7132
1945	783	293	8.2078	284.7922	239.2078
1946	795	280	-4.202	284.202	226.798
1947	807	230	-51.932	281.932	179.068
1948	819	244	-38.5676	282.5676	192.4324
1949	831	292	7.2532	284.7468	238.2532
1950	843	224	-57.6596	281.6596	173.3404
1951	855	258	-25.2032	283.2032	205.7968
1952	867	270	-13.748	283.748	217.252
1953	879	303	17.7538	285.2462	248.7538
1954	891	379	90.3034	288.6966	321.3034
1955	903	286	1.5256	284.4744	232.5256
1956	915	290	5.344	284.656	236.344
1957	927	226	-55.7504	281.7504	175.2496
1958	939	296	11.0716	284.9284	242.0716
1959	951	264	-19.4756	283.4756	211.5244
1960	963	250	-32.84	282.84	198.16
1961	975	307	21.5722	285.4278	252.5722
1962	987	419	128.4874	290.5126	359.4874
1963	999	289	4.3894	284.6106	235.3894
1964	1011	294	9.1624	284.8376	240.1624
1965	1023	316	30.1636	285.8364	261.1636
1966	1035	312	26.3452	285.6548	257.3452
1967	1047	346	58.8016	287.1984	289.8016
1968	1059	269	-14.7026	283.7026	216.2974
1969	1071	317	31.1182	285.8818	262.1182
1970	1083	308	22.5268	285.4732	253.5268
1971	1095	320	33.982	286.018	264.982
1972	1107	243	-39.5222	282.5222	191.4778
1973	1119	415	124.669	290.331	355.669
1974	1131	315	29.209	285.791	260.209
1975	1143	259	-24.2486	283.2486	206.7514
1976	1155	432	140.8972	291.1028	371.8972
1977	1167	386	96.9856	289.0144	327.9856
1978	1179	282	-2.2928	284.2928	228.7072
1979	1191	289	4.3894	284.6106	235.3894
1980	1203	308	22.5268	285.4732	253.5268
1981	1215	389	99.8494	289.1506	330.8494
1982	1227	328	41.6188	286.3812	272.6188
1983	1239	381	92.2126	288.7874	323.2126
1984	1251	316	30.1636	285.8364	261.1636
1985	1263	314	28.2544	285.7456	259.2544
1986	1275	273	-10.8842	283.8842	220.1158
1987	1287	321	34.9366	286.0634	265.9366
1988	1299	300	14.89	285.11	245.89
1989	1311	308	22.5268	285.4732	253.5268
1990	1323	393	103.6678	289.3322	334.6678
1991	1335	338	51.1648	286.8352	282.1648
1992	1347	286	1.5256	284.4744	232.5256
