,Year,95% Lower,CI Estimate,95% Upper
1,1,202.74833568004,215.567632866483,228.386930052926
2,2,291.980494326281,301.366794399649,310.753094473017
3,3,313.674515091784,324.455564379203,335.236613666622
4,4,327.215947160824,339.054031821534,350.892116482245
5,5,336.948001373522,349.765533929992,362.583066486462
6,6,344.453968180899,358.225645932826,371.997323684754
7,7,350.505118830482,365.213531911103,379.921944991724
8,8,355.536702958905,371.162879055916,386.789055152927
9,9,359.817976879296,376.340267912079,392.862558944862
10,10,363.52653326348,380.921364603837,398.316195944193
11,11,366.785255661713,385.028070857141,403.27088605257
12,12,369.682423656039,388.748438549515,407.814453442991
13,13,372.283412485953,392.14813916196,412.012865837967
14,14,374.637869193733,395.277452925532,415.917036657331
15,15,376.784305704268,398.175726799562,419.567147894857
16,16,378.753144408537,400.874327423604,422.995510438672
17,17,380.568798998974,403.398660345834,426.228521692695
18,18,382.251133232489,405.769588789312,429.288044346134
19,19,383.816506772134,408.004454203812,432.192401635489
20,20,385.278539919627,410.117825587775,434.957111255923
21,21,386.648682664424,412.122059702474,437.595436740523
22,22,387.936644793135,414.027726684593,440.118808576051
23,23,389.150725585935,415.84393807552,442.537150565104
24,24,390.298069776502,417.5786029296,444.859136082697
25,25,391.384868576605,419.23863012183,447.092391667055
26,26,392.41651923057,420.830089864657,449.243660498744
27,27,393.397752885473,422.358343916267,451.318934947062
28,28,394.332737984834,423.828151487586,453.323564990337
29,29,395.225164560569,425.243756091813,455.262347623056
30,30,396.078313476785,426.60895730641,457.139601136034
31,31,396.895113715004,427.927170485322,458.959227255639
32,32,397.678190078686,429.201476769043,460.7247634594
33,33,398.429903163872,430.434665223517,462.439427283162
34,34,399.152383042535,431.629268548158,464.10615405378
35,35,399.847557800746,432.787593495044,465.727629189342
36,36,400.517177840064,433.911746911609,467.306315983153
37,37,401.162836669808,435.003658140747,468.844479611686
38,38,401.785988776832,436.065098372671,470.34420796851
39,39,402.387965048759,437.097697432712,471.807429816665
40,40,402.969986138997,438.102958401936,473.235930664874
41,41,403.533174092247,439.082270397575,474.631366702904
42,42,404.07856249331,440.03691978419,475.99527707507
43,43,404.607105357115,440.968100041037,477.329094724958
44,44,405.119684941428,441.876920474273,478.634156007118
45,45,405.617118634077,442.764413932424,479.911709230772
46,46,406.100165042246,443.631543658784,481.162922275323
47,47,406.569529391476,444.479209393976,482.388889396475
48,48,407.025868325503,445.308252824942,483.590637324381
49,49,407.469794184408,446.119462462535,484.769130740662
50,50,407.901878827202,446.913578018066,485.92527720893
51,51,408.322657055396,447.691294339284,487.059931623172
52,52,408.732629686163,448.453264957906,488.173900229648
53,53,409.132266316954,449.200105293777,489.2679442706
54,54,409.52200781773,449.932395554749,490.342783291768
55,55,409.902268582158,450.650683366274,491.39909815039
56,56,410.273438565013,451.355486160366,492.437533755718
57,57,410.635885129508,452.047293349855,493.458701570202
58,58,410.989954725292,452.726568310669,494.463181896045
59,59,411.335974415259,453.39375019209,495.451525968921
60,60,411.674253267116,454.049255572611,496.424257878105
61,61,412.005083623717,454.69347997688,497.381876330044
62,62,412.32874226453,455.326799267509,498.324856270489
63,63,412.645491469157,455.949570923886,499.253650378615
64,64,412.955579992595,456.562135218844,500.168690445093
65,65,413.25924396079,457.164816302799,501.070388644807
66,66,413.556707694145,457.757923203943,501.959138713741
67,67,413.848184465752,458.341750752177,502.835317038602
68,68,414.133877200434,458.916580433641,503.699283666848
69,69,414.413979119991,459.482681182,504.55138324401
70,70,414.688674339529,460.040310112022,505.391945884515
71,71,414.958138419199,460.58971320041,506.22128798162
72,72,415.222538875278,461.13112591838,507.039712961483
73,73,415.482035654088,461.664773820029,507.847511985969
74,74,415.736781571943,462.190873090129,508.644964608314
75,75,415.986922723969,462.709631054681,509.432339385393
76,76,416.232598864382,463.221246657204,510.209894450026
