,Year,RL
1,1,215.567632866483
2,2,301.366794399649
3,3,324.455564379203
4,4,339.054031821534
5,5,349.765533929992
6,6,358.225645932826
7,7,365.213531911103
8,8,371.162879055916
9,9,376.340267912079
10,10,380.921364603837
11,11,385.028070857141
12,12,388.748438549515
13,13,392.14813916196
14,14,395.277452925532
15,15,398.175726799562
16,16,400.874327423604
17,17,403.398660345834
18,18,405.769588789312
19,19,408.004454203812
20,20,410.117825587775
21,21,412.122059702474
22,22,414.027726684593
23,23,415.84393807552
24,24,417.5786029296
25,25,419.23863012183
26,26,420.830089864657
27,27,422.358343916267
28,28,423.828151487586
29,29,425.243756091813
30,30,426.60895730641
31,31,427.927170485322
32,32,429.201476769043
33,33,430.434665223517
34,34,431.629268548158
35,35,432.787593495044
36,36,433.911746911609
37,37,435.003658140747
38,38,436.065098372671
39,39,437.097697432712
40,40,438.102958401936
41,41,439.082270397575
42,42,440.03691978419
43,43,440.968100041037
44,44,441.876920474273
45,45,442.764413932424
46,46,443.631543658784
47,47,444.479209393976
48,48,445.308252824942
49,49,446.119462462535
50,50,446.913578018066
51,51,447.691294339284
52,52,448.453264957906
53,53,449.200105293777
54,54,449.932395554749
55,55,450.650683366274
56,56,451.355486160366
57,57,452.047293349855
58,58,452.726568310669
59,59,453.39375019209
60,60,454.049255572611
61,61,454.69347997688
62,62,455.326799267509
63,63,455.949570923886
64,64,456.562135218844
65,65,457.164816302799
66,66,457.757923203943
67,67,458.341750752177
68,68,458.916580433641
69,69,459.482681182
70,70,460.040310112022
71,71,460.58971320041
72,72,461.13112591838
73,73,461.664773820029
74,74,462.190873090129
75,75,462.709631054681
76,76,463.221246657204
