Year Monthly Annual
1 1 296.07031339725 215.567886651918
2 2 333.934206019911 301.372071568949
3 3 349.592626720849 324.460457317902
4 4 361.199554857969 339.058290083171
5 5 370.691757302182 349.769131065865
6 6 378.837458231333 358.22860295351
7 7 386.034425534559 365.215881171827
8 8 392.519510762557 371.164654210743
9 9 398.446809416479 376.341500835154
10 10 403.922970841868 380.922084534171
11 11 409.025271190672 385.02830431381
12 12 413.811725757313 388.748209512664
13 13 418.327140727466 392.147469331464
14 14 422.606931190873 395.276361985556
15 15 426.679634870326 398.174232662824
16 16 430.568626494099 400.872446447562
17 17 434.293322182681 403.396407520436
18 18 437.87004724038 405.76697789871
19 19 441.312675242458 408.001497965304
20 20 444.633107763478 410.114535771207
21 21 447.841640591339 412.118447233084
22 22 450.947247493383 414.023801731843
23 23 453.957803052278 415.8397101301
24 24 456.880259769265 417.574080870433
25 25 459.720790358163 419.23382227459
26 26 462.4849032065 420.825004053082
27 27 465.177536912387 422.352987507312
28 28 467.803138331596 423.822531431307
29 29 470.36572750307 425.237878956723
30 30 472.868952039522 426.602829310919
31 31 475.316132989828 427.920797525791
32 32 477.710303744707 429.194864444898
33 33 480.054243227108 430.427818859785
34 34 482.350504355978 431.622193215763
35 35 484.601438576798 432.780294029127
36 36 486.809217100037 433.904227928099
37 37 488.975849369138 434.995924051411
38 38 491.103199185054 436.057153398784
39 39 493.192998838923 437.089545617527
40 40 495.246861544027 438.09460362207
41 41 497.266292409347 439.073716373437
42 42 499.252698157418 440.028170089531
43 43 501.207395756791 440.959158111742
44 44 503.131620112925 441.867789616442
45 45 505.026530939356 442.755097329828
46 46 506.893218912897 443.622044379755
47 47 508.732711201483 444.469530397774
48 48 510.545976440667 445.298396967663
49 49 512.33392922414 446.109432502588
50 50 514.097434164737 446.903376621265
51 51 515.837309574807 447.680924083584
52 52 517.554330808443 448.44272833782
53 53 519.249233302538 449.189404724497
54 54 520.922715349035 449.921533375991
55 55 522.575440626668 450.639661845878
56 56 524.208040517073 451.344307497668
57 57 525.821116227175 452.035959678845
58 58 527.41524073719 452.715081702955
59 59 528.99096059132 453.382112659687
60 60 530.548797546328 454.037469070555
61 61 532.089250091438 454.681546405698
62 62 533.612794851583 455.314720475538
63 63 535.11988788467 455.937348709465
64 64 536.610965882442 456.549771332383
65 65 538.086447283507 457.152312448731
66 66 539.54673330619 457.74528104257
67 67 540.992208908146 458.328971901419
68 68 542.423243678921 458.903666470689
69 69 543.84019267108 459.469633644888
70 70 545.243397174959 460.027130501109
71 71 546.633185441616 460.576402979797
72 72 548.009873358124 461.117686517251
73 73 549.373765078982 461.651206633921
74 74 550.725153617046 462.177179482148
75 75 552.064321397086 462.695812356656
76 76 553.391540774817 463.207304170783
