year	day	abm	resid	mean	detrend	
1888	109	268	-15.6572	283.6572	215.3428	0.62745098
1889	121	277	-7.0658	284.0658	223.9342	0.56862745
1890	133	249	-33.7946	282.7946	197.2054	0.76470588
1891	145	230	-51.932	281.932	179.068	0.90196078
1892	157	263	-20.4302	283.4302	210.5698	0.66666667
1893	169	232	-50.0228	282.0228	180.9772	0.8627451
1894	181	377	88.3942	288.6058	319.3942	0.09803922
1895	193	348	60.7108	287.2892	291.7108	0.17647059
1896	205	271	-12.7934	283.7934	218.2066	0.60784314
1897	217	258	-25.2032	283.2032	205.7968	0.68627451
1898	229	330	43.528	286.472	274.528	0.31372549
1899	241	266	-17.5664	283.5664	213.4336	0.64705882
1900	253	227	-54.7958	281.7958	176.2042	0.92156863
1901	265	392	102.7132	289.2868	333.7132	0.07843137
1902	277	292	7.2532	284.7468	238.2532	0.41176471
1903	289	283	-1.3382	284.3382	229.6618	0.47058824
1904	301	336	49.2556	286.7444	280.2556	0.25490196
1905	313	343	55.9378	287.0622	286.9378	0.23529412
1906	325	412	121.8052	290.1948	352.8052	0.05882353
1907	337	303	17.7538	285.2462	248.7538	0.37254902
1908	349	288	3.4348	284.5652	234.4348	0.43137255
1909	361	253	-29.9762	282.9762	201.0238	0.7254902
1910	373	213	-68.1602	281.1602	162.8398	1
1911	385	284	-0.3836	284.3836	230.6164	0.45098039
1912	397	278	-6.1112	284.1112	224.8888	0.52941176
1913	409	236	-46.2044	282.2044	184.7956	0.82352941
1914	421	345	57.847	287.153	288.847	0.21568627
1915	433	216	-65.2964	281.2964	165.7036	0.98039216
1916	445	426	135.1696	290.8304	366.1696	0.01960784
1917	457	352	64.5292	287.4708	295.5292	0.1372549
1918	469	295	10.117	284.883	241.117	0.39215686
1919	481	234	-48.1136	282.1136	182.8864	0.84313725
1920	493	253	-29.9762	282.9762	201.0238	0.70588235
1921	505	349	61.6654	287.3346	292.6654	0.15686275
1922	517	307	21.5722	285.4278	252.5722	0.35294118
1923	529	278	-6.1112	284.1112	224.8888	0.50980392
1924	541	325	38.755	286.245	269.755	0.33333333
1925	553	248	-34.7492	282.7492	196.2508	0.78431373
1926	565	347	59.7562	287.2438	290.7562	0.19607843
1927	577	230	-51.932	281.932	179.068	0.88235294
1928	589	331	44.4826	286.5174	275.4826	0.2745098
1929	601	366	77.8936	288.1064	308.8936	0.11764706
1930	601	277	-7.0658	284.0658	223.9342	0.54901961
1931	624	251	-31.8854	282.8854	199.1146	0.74509804
1932	635	238	-44.2952	282.2952	186.7048	0.80392157
1933	646	226	-55.7504	281.7504	175.2496	0.94117647
1934	657	273	-10.8842	283.8842	220.1158	0.58823529
1935	668	280	-4.202	284.202	226.798	0.49019608
1936	679	330	43.528	286.472	274.528	0.29411765
1937	690	217	-64.3418	281.3418	166.6582	0.96078431
1953					385	0.03921569
